,chapter,paragraph,paraph_class,paraph_class_name,text,sentence_class,sentence_class_name
717,35,2,21,Tea Production and Trade,"This is Hankow, six hundred miles from the sea, and undoubtedly the greatest tea market in the world.",0,Tea Production and Trade
718,35,2,21,Tea Production and Trade,"But it is European Hankow, and you have already learned that Europeanized cities in China and native cities are very dissimilar.",1,"Geography, Transportation, and Culture"
719,35,2,21,Tea Production and Trade,"There are three native cities here, all within sight one of another and also lying adjacent to the foreign settlement before us; they are Wuchang, on the opposite side of the river, and Hanyang and Hankow, lying near together on this side.",1,"Geography, Transportation, and Culture"
720,35,2,21,Tea Production and Trade,"When I stood here a huge three-funnel merchant steamer from Odessa, Russia's great port on the Black Sea, lay at anchor in midstream.",1,"Geography, Transportation, and Culture"
721,35,2,21,Tea Production and Trade,"Ships from all parts of the world come here for tea; so, I think, for gigantic tea-parties Hankow holds the record.",0,Tea Production and Trade
722,35,2,21,Tea Production and Trade,"Our steamer brought a cargo from a point down the river to this place for transshipment, or possibly to be first transformed or pressed into what is called brick-tea.",0,Tea Production and Trade
723,35,2,21,Tea Production and Trade,"Should we go ashore a little distance from this shipping front, we would see many places where tea is pressed into hard bricks, chiefly for shipment to Russia, although the best grades of tea are not put up in this manner.",0,Tea Production and Trade
724,35,2,21,Tea Production and Trade,"Though this is the most important tea center in the world, I want to tell you that the nearest point where tea is grown is one hundred miles from Hankow.",1,"Geography, Transportation, and Culture"
725,35,2,21,Tea Production and Trade,"Tea is brought here from the hill and mountain districts, where it is grown; it is brought from smaller ports up and down the river to Hankow, where it is sometimes repacked and sent to all parts of the world.",0,Tea Production and Trade
726,35,2,21,Tea Production and Trade,"There are many docks such as this where lines of barefooted, bareheaded, and sometimes barebacked coolies form a ceaseless line between the ships and the ""godowns,"" carrying chests of tea and uttering their weird, dolorous cry, which they think distracts the mind from the burden.",1,"Geography, Transportation, and Culture"
727,35,2,21,Tea Production and Trade,"The tea is now altogether in the hands of Chinamen; from these landing “go-downs"" it will be carried to the hongs, as business places are called in the East.",0,Tea Production and Trade
728,35,2,21,Tea Production and Trade,These chests of tea do not look exactly familiar; they are differently marked from those we are accustomed to see in our markets.,0,Tea Production and Trade
729,35,2,21,Tea Production and Trade,"Much of the tea used in America is from Japan, and besides, teas from different parts of China are marked differently.",0,Tea Production and Trade
730,35,2,21,Tea Production and Trade,"I was greatly surprised to learn that at this place the difference between high and low water is often forty feet and over, sometimes reaching and flooding the streets above.",1,"Geography, Transportation, and Culture"
731,35,2,21,Tea Production and Trade,"I think you have not discovered that each coolie carries a small stick in his hand; they have a simple but a very infallible way of checking off the number of packages discharged; after the ancient fashion, each coolie delivers with each package a tallystick to a tally-man on shore.",1,"Geography, Transportation, and Culture"
732,35,2,21,Tea Production and Trade,Not many in the West would like to carry these chests of tea ten hours a day in the hot sun at ten cents a day!,1,"Geography, Transportation, and Culture"
855,37,15,21,Tea Production and Trade,"When we arose in the morning we found the town of Matin situated in a beautiful and well-cultivated valley, flanked by lofty, near-by hills with towering mountains in the distance.",1,"Geography, Transportation, and Culture"
856,37,15,21,Tea Production and Trade,"The tea plantations were a great disappointment to me; they consisted of only small, stunted bushes twelve or fourteen inches high, in scattered patches that were worthless as showing a typical tea plantation.",0,Tea Production and Trade
857,37,15,21,Tea Production and Trade,"I have been in many tea plantations in India, in Ceylon and in Japan, and I considered the plantation at this place unworthy a photographic reproduction; but I felt I must go out on the hillsides to look around and possibly make a view.",1,"Geography, Transportation, and Culture"
875,38,6,21,Tea Production and Trade,"Those mountains are all tea-lands as far as you can see, although there is no tea in sight except a little line of stunted bushes close down on our right.",1,"Geography, Transportation, and Culture"
876,38,6,21,Tea Production and Trade,"The tea-plant does not like the vicinity of salt water, but thrives best in mountain air and mountain soil.",0,Tea Production and Trade
877,38,6,21,Tea Production and Trade,"These peasants do not seem to differ in appearance from those we have seen in other localities; they wear the queue; their heads are shaven; some are half nude; some wear trousers with shirts outside; some are barefoot and some are shod, and all are impudent in a cowardly fashion.",1,"Geography, Transportation, and Culture"
884,39,3,21,Tea Production and Trade,"Our faithful servant is before us and looks off into space, as though he were unconscious of the cowardly demonstration taking place behind him, and that by his own countrymen.",1,"Geography, Transportation, and Culture"
885,39,3,21,Tea Production and Trade,Two small bushes of tea are just at our feet; these near specimens will show how miserably stunted were the tea-plants in this region.,0,Tea Production and Trade
886,39,3,21,Tea Production and Trade,You may see a patch farther down the mountain-side; the mountain on the other side of the valley had only such patches as these scattered here and there among the slopes.,1,"Geography, Transportation, and Culture"
887,39,3,21,Tea Production and Trade,"It does not follow that tea in all parts of China is like this; we were only unfortunate in getting into a region where the plantations were poor, and a typical tea-picking scene could not be found.",0,Tea Production and Trade
888,39,3,21,Tea Production and Trade,In the distance you see mountains of considerable size; they are the same over which we passed on our way to this place and over which we must return.,1,"Geography, Transportation, and Culture"
889,39,3,21,Tea Production and Trade,"We shall start at noon, and we must traverse those mountains again and reach our house-boat, twenty miles away, before we can sleep to-night.",1,"Geography, Transportation, and Culture"
890,39,3,21,Tea Production and Trade,"No doubt, if we could see within those houses, there would be many things in the Iways of the Chinaman which would seem very strange to us.",1,"Geography, Transportation, and Culture"
