,chapter,paragraph,paraph_class,paraph_class_name,text,sentence_paraph_class,logprob
0,1,2,11,Geography and Topography,"We are on the upper deck of one of the many steamers that ride at anchor in the beautiful harbor of Hongkong, and there we see before us in the distance, at the base of that dark, green mountain side, the city of Victoria, generally called Hongkong, after the island on which it is situated.",Geography and Topography,0.9748411490001677
1,1,2,11,Geography and Topography,"We are looking southwest and the mainland lies on our right, distant only a mile or two, and which we shall soon see from the slope of the mountain in front of us.",Geography and Topography,0.999999940388081
2,1,2,11,Geography and Topography,"A little to the left of the highest point of that somber elevation floats the English flag, that grand old symbol of our fatherland, on which, you know, the sun never sets.",British Colonialism,0.999993086147496
3,1,2,11,Geography and Topography,"To our left, the city skirts the base of the rugged mountain for several miles; and should we follow the winding and irregular coast line and complete a circuit of the island, it would require a journey of over thirty miles; and should we ascend that dark green slope by cable tramway or by winding shady path, a climb of two thousand feet would be rewarded by a panorama scarcely surpassed in the whole world.",Geography and Topography,0.999999940388081
4,1,2,11,Geography and Topography,The summit of that mountain island is a maze of peaks and dells dotted everywhere with cozy villas of the wealthy who find there a cool and healthful retreat from the languishing summer heat of the city below.,Geography and Topography,0.9999997615523455
5,1,3,11,Geography and Topography,"Then by reference to the maps we can see that the great mass of China lies off to our right, stretching away for over two thousand miles.",Geography and Topography,0.999999940388081
6,1,3,11,Geography and Topography,"Directly before us, six hundred miles distant, is French or Indo-China, and further in that direction is Siam and the Malay Peninsula, Singapore being nearly fifteen hundred miles away.",Geography and Topography,0.9999998807761656
7,1,3,11,Geography and Topography,"Luzon, the northernmost of the Philippine Islands, lies over six hundred miles sharply to our left.",Geography and Topography,0.999999940388081
8,1,3,11,Geography and Topography,"Back of us is Formosa, about four hundred miles away, while Tokio, Japan, is one thousand miles beyond Formosa.",Geography and Topography,1.0
9,1,3,11,Geography and Topography,San Francisco is nearly six thousand miles distant behind us and over our left shoulder.,Geography and Topography,0.9999998211970382
10,1,3,11,Geography and Topography,"Now, with a clearer sense of our location in this part of the earth, we will give further attention to this place immediately before us.",Geography and Topography,0.9999998807761656
11,1,4,2,British Colonialism,"Hongkong is a British crown colony and was a ""voluntary"" cession from China made sixty years ago, in settlement of trade difficulties between the two countries which had extended over a period of two hundred years.",British Colonialism,0.9999794379004379
12,1,4,2,British Colonialism,"It is now the most important entrepot of the far East, with a native population of two hundred and fifty thousand and about twelve thousand Europeans.",Trade and Commerce,0.9999662631832791
13,1,5,12,Harbor and Waterways,"That water front, which you see, is lined with commodious modern office buildings, granite quays and landing stages, around which queer native boats called sampans, manned by native women, ply their trade of carrying passengers from point to point.",Harbor and Waterways,0.9999922517345159
14,1,6,16,Plague and Disease,"It is Mount Davis, nearly nine hundred feet high, and around its base is a Chinese cemetery.",Geography and Topography,0.9996025105095083
15,1,6,16,Plague and Disease,"Between Mount Davis and the sea, on a gentle slope facing the northeast, thousands of little mounds, designated by simple board tablets, indicate the burial place of the victims of the bubonic plague which has prevailed for many years in this city.",Cemeteries and Burial Practices,0.9987657924387193
16,1,6,16,Plague and Disease,Neither the friends of the victims buried there nor leisure strollers are ever seen near the silent hillside; there even the dead menace the lives of the living.,Cemeteries and Burial Practices,0.9991475241250172
17,1,7,20,Social Classes and Customs,"On the roof of this little house directly before us, in which John ""makee washee, washee,"" we see squatted three coolies in the characteristic position of the lower classes, not only of China, but of many other Oriental countries.",Social Classes and Customs,0.9999893315649125
18,1,7,20,Social Classes and Customs,"If the classification of men were made on the same plan as that of birds by ornithologists, these fellows would be styled perchers; for, whether eating, smoking, resting, or in social confab, they are always in this couchant and ungraceful pose.",Social Classes and Customs,0.9999884376243213
19,1,8,24,War and Conflict,"We can see three large, new buildings on the quay, facing the harbor; the farthest of those buildings was a place of much importance during the Spanish-American war.",War and Conflict,0.9999819401612597
20,1,8,24,War and Conflict,"It is the Cable building, and it was to that place that all war dispatches were brought for transmission after the cable was cut in the bay of Manila.",War and Conflict,0.9999994039743072
21,1,9,11,Geography and Topography,"We shall go ashore in a sampan, most likely sculled by a Chinese mother with a babe tied at her back.",Harbor and Waterways,0.9976949769598671
22,1,9,11,Geography and Topography,We shall land near those same buildings and follow a well-paved street toward the mountain side.,Geography and Topography,0.9999997019404407
23,1,9,11,Geography and Topography,"The second street we pass, Queen's Road, the chief thoroughfare, is almost impassable at times, so full is it with darting jinrikishas and sedan chairs, borne by chair coolies.",Transportation,0.9999509508367346
24,1,9,11,Geography and Topography,"We ascend the mountain slope along beautiful walks and through botanical gardens embowered in every species of tropical palm and tree-fern, and past well kept lawns studded with bright flower beds, until we have reached an elevation of nearly a thousand feet somewhat farther to the left than we can see, when we turn about and from our elevated viewpoint look back in this direction upon the busiest and most beautiful harbor of the Orient.",Geography and Topography,0.9999675138025841
25,1,9,11,Geography and Topography,"This new position is given on the map of Hongkong and vicinity by the two red lines that branch north from the island, each having the number 2 at its end.",Geography and Topography,0.9999986887770048
26,2,2,2,British Colonialism,"Now we obtain our first sight of the main-land of China, but scarcely yet do we see Chinese territory, for all that portion of the mainland now within our view is under the British flag, England having in recent years leased for a period of ninety-nine years (which an Englishman knows means forever) a peninsula embracing many square miles of territory, and extending many miles beyond those rocky mountains.",British Colonialism,0.9999997019871092
27,2,2,2,British Colonialism,The military and naval defenses of Hongkong would be quite insecure unless England held adjacent lands on the mainland shore before us.,Military and Naval Defenses,0.9999977350560768
28,2,2,2,British Colonialism,To the right and to the left of those bold barren mountains are sheltered bays from which a foreign fleet with modern guns could hurl monstrous projectiles to the very spot on which we stand.,Military and Naval Defenses,0.9978922065937351
29,2,2,2,British Colonialism,"Mirs Bay, that memorable retreat of Admiral Dewey, when compelled by the enforcement of England's neutrality to leave the port of Hongkong, is only ten miles away, just behind those mountains to the right.",Harbor and Waterways,0.9995455893085559
30,2,3,12,Harbor and Waterways,"If we now look down to the harbor before us we may see, quite to the right and farthest away, the long black cargo ship on which we stood when we obtained our first view, and a little nearer we see a large white mastless hull roofed over and anchored fore and aft;",Harbor and Waterways,0.9999998211642538
31,2,3,12,Harbor and Waterways,"that is a naval receiving ship of the station, to which naval men and officers are brought when transfers are to be made.",Military and Naval Defenses,0.909685360237515
32,2,4,13,Military and Naval Defenses,"A little nearer we see a long, rakish, crouching, demoniacal looking craft with a skulking lowness in the water.",Military and Naval Defenses,0.9996243621499734
33,2,4,13,Military and Naval Defenses,In the center of our field of vision we see a large white ship with three funnels; her lines indicate other purposes than the pursuit of commerce.,Military and Naval Defenses,0.9999951126684495
34,2,4,13,Military and Naval Defenses,"Our field of vision embraces only a narrow space across the channel; throughout its full length there are seldom fewer than fifteen or twenty of these grim arbiters anchored in this focus of Oriental commerce, and they are mostly English.",Military and Naval Defenses,0.9999243780839905
35,2,5,22,Trade and Commerce,"Across the harbor immediately before us, and to the right of the projecting headland, are situated the city and harbor of Kowloon, at which are dry docks that will accommodate the largest warships.",Harbor and Waterways,0.9999703178585703
36,2,5,22,Trade and Commerce,"We can faintly see the docks across that small bay point of land, to the right of the city.",Harbor and Waterways,0.9990160262835621
37,2,5,22,Trade and Commerce,"It was there that several of the Spanish warships destroyed by our fleet in Manila Bay were taken for reconstruction under the supervision of the brave hero of the ""Merrimac,"" Lieutenant Hobson.",War and Conflict,0.9739604074667948
38,2,5,22,Trade and Commerce,"Vast storehouses, or ""godowns"" as they are named in the East, to accommodate transshipment, are ranged near the piers.",Trade and Commerce,0.99946693469373
39,2,5,22,Trade and Commerce,"It is estimated that the actual trade of the European colony, exclusive of the cargoes which pass through this port without breaking bulk, is over 100,000,000 pounds per annum.",Trade and Commerce,0.9999994039743072
40,2,5,22,Trade and Commerce,"Many passenger steamers for Europe and America coal and embark passengers from the docks at Kowloon; but the boats of the Pacific Mail, the Canadian Pacific and most of the great lines for Europe receive and discharge their cargoes and embark and debark passengers at their anchorage in the harbor, which extends a mile or more on either hand in the bay between us and the opposite shore.",Harbor and Waterways,0.9638830939437847
41,2,5,22,Trade and Commerce,"The harbor front at Kowloon presents a busy scene; rail-trucks are constantly thundering back and forth between the long piers and the godowns, coolies, in long lines, waddling under heavy loads carried on bamboo poles, pass to and fro uttering a weird, rhythmical cry which they think helps to dispel a consciousness of physical burden.",Trade and Commerce,0.9934443326829367
42,2,5,22,Trade and Commerce,"At frequent intervals small steam ferry-boats ply between Hongkong and Kowloon, carrying first-class passengers at five-cent fares and second-class at half that amount.",Transportation,0.9398480780995649
43,2,5,22,Trade and Commerce,"I must remind you, however, that the busy commercial port we see across the bay is not the native city of Kowloon.",Trade and Commerce,0.9755294066048257
44,2,5,22,Trade and Commerce,A water-front embracing about three square miles was here added to the colony of Hongkong thirty-five years ago.,Harbor and Waterways,0.9999569697738091
45,2,5,22,Trade and Commerce,A few miles out among those low hills a granite bowlder marks the place of the surrender of the last of the Taipings.,War and Conflict,0.9999893911761991
46,2,6,11,Geography and Topography,The native city of the same name is hidden among the low hills three miles distant and a little to our right.,Geography and Topography,0.999999940388081
47,2,6,11,Geography and Topography,The native Kowloon is a typical old Chinese city of low onestory buildings with tile roofs and surrounded by a dilapidated brick wall.,Architecture and Building,0.9999793782479087
48,2,7,11,Geography and Topography,"but beyond are many fertile and well-cultivated valleys producing rice, sugar-cane, sweet potatoes, garden fruits and vegetables.",Agriculture and Farming,0.999989033575835
49,2,7,11,Geography and Topography,"In some portions of this peninsula that curious nut or fruit, sometimes seen in our markets, called the lichee, is abundantly produced.",Food and Diet,0.978120903062355
50,2,7,11,Geography and Topography,"Along that mountain range to the left, distinctly visible from positions near us, is a long line of excavation that shows the beginning of a railroad that is to connect Hongkong and Canton.",Geography and Topography,0.9753561539300548
51,2,8,5,Education,"When we looked at Hongkong from the ship your attention was called to three buildings, one containing the cable office; those buildings are again before us, down by the harbor.",Harbor and Waterways,0.9991369394177512
52,2,8,5,Education,"A little further to the left, just to the right of the tree before us, and about half way to the Cable building, is St. John's Protestant Cathedral, a pretty building erected over fifty years ago, with a seating capacity for eight hundred.",Architecture and Building,0.9999971391850971
53,2,8,5,Education,"And below us to the left of the tree we see the spire of the Union Church, erected two years before the former and seating about five hundred people.",Architecture and Building,0.9999793782588224
54,2,8,5,Education,"Much encouragement has been given in that direction in Hongkong, and the Chinese inhabitants are quite alive to the importance of education.",Education,0.999999940388081
