chapter,paragraph,paraph_class,paraph_class_name,text,sentence_paraph_class,logprob,categories,categories_probs,length_cats
1,2,11,Geography and Topography,"We are on the upper deck of one of the many steamers that ride at anchor in the beautiful harbor of Hongkong, and there we see before us in the distance, at the base of that dark, green mountain side, the city of Victoria, generally called Hongkong, after the island on which it is situated.",Geography and Topography,0.9748411490001676,"['Harbor and Waterways', 'Geography and Topography', 'Transportation', 'British Colonialism']","[0.25008841409945526, 0.2500870726371863, 0.24997732320795713, 0.24984683228423432]",4
1,2,11,Geography and Topography,"We are looking southwest and the mainland lies on our right, distant only a mile or two, and which we shall soon see from the slope of the mountain in front of us.",Geography and Topography,0.999999940388081,['Geography and Topography'],[0.9999918942133156],1
1,2,11,Geography and Topography,"A little to the left of the highest point of that somber elevation floats the English flag, that grand old symbol of our fatherland, on which, you know, the sun never sets.",British Colonialism,0.999993086147496,['British Colonialism'],[0.9998206526392062],1
1,2,11,Geography and Topography,"To our left, the city skirts the base of the rugged mountain for several miles; and should we follow the winding and irregular coast line and complete a circuit of the island, it would require a journey of over thirty miles; and should we ascend that dark green slope by cable tramway or by winding shady path, a climb of two thousand feet would be rewarded by a panorama scarcely surpassed in the whole world.",Geography and Topography,0.999999940388081,"['Geography and Topography', 'Transportation']","[0.4998269850303233, 0.499815426720533]",2
1,2,11,Geography and Topography,The summit of that mountain island is a maze of peaks and dells dotted everywhere with cozy villas of the wealthy who find there a cool and healthful retreat from the languishing summer heat of the city below.,Geography and Topography,0.9999997615523456,"['Geography and Topography', 'Social Classes and Customs']","[0.49986034576133115, 0.4997560387286847]",2
1,3,11,Geography and Topography,"Then by reference to the maps we can see that the great mass of China lies off to our right, stretching away for over two thousand miles.",Geography and Topography,0.999999940388081,['Geography and Topography'],[0.9999811652414899],1
1,3,11,Geography and Topography,"Directly before us, six hundred miles distant, is French or Indo-China, and further in that direction is Siam and the Malay Peninsula, Singapore being nearly fifteen hundred miles away.",Geography and Topography,0.9999998807761656,"['Geography and Topography', 'British Colonialism']","[0.5002830615297473, 0.4997121079840656]",2
1,3,11,Geography and Topography,"Luzon, the northernmost of the Philippine Islands, lies over six hundred miles sharply to our left.",Geography and Topography,0.999999940388081,['Geography and Topography'],[0.9999997615513649],1
1,3,11,Geography and Topography,"Back of us is Formosa, about four hundred miles away, while Tokio, Japan, is one thousand miles beyond Formosa.",Geography and Topography,1.0,['Geography and Topography'],[0.999995351075231],1
1,3,11,Geography and Topography,San Francisco is nearly six thousand miles distant behind us and over our left shoulder.,Geography and Topography,0.9999998211970382,"['Geography and Topography', 'Transportation']","[0.6736649979209659, 0.32633411865440626]",2
1,3,11,Geography and Topography,"Now, with a clearer sense of our location in this part of the earth, we will give further attention to this place immediately before us.",Geography and Topography,0.9999998807761656,['Geography and Topography'],[0.9999971389211411],1
1,4,2,British Colonialism,"Hongkong is a British crown colony and was a ""voluntary"" cession from China made sixty years ago, in settlement of trade difficulties between the two countries which had extended over a period of two hundred years.",British Colonialism,0.999979437900438,"['British Colonialism', 'Trade and Commerce']","[0.4998567773524779, 0.499855466529803]",2
1,4,2,British Colonialism,"It is now the most important entrepot of the far East, with a native population of two hundred and fifty thousand and about twelve thousand Europeans.",Trade and Commerce,0.9999662631832792,"['Trade and Commerce', 'Harbor and Waterways', 'British Colonialism']","[0.41408460301109146, 0.41403263251265127, 0.1718136114159105]",3
1,5,12,Harbor and Waterways,"That water front, which you see, is lined with commodious modern office buildings, granite quays and landing stages, around which queer native boats called sampans, manned by native women, ply their trade of carrying passengers from point to point.",Harbor and Waterways,0.999992251734516,"['Harbor and Waterways', 'Transportation', 'Daily Life and Occupations', 'Trade and Commerce', 'Architecture and Building']","[0.12647760714946518, 0.12647744129938743, 0.12647729054584253, 0.12647435065577237, 0.1264736716648798]",5
1,6,16,Plague and Disease,"It is Mount Davis, nearly nine hundred feet high, and around its base is a Chinese cemetery.",Geography and Topography,0.9996025105095084,"['Cemeteries and Burial Practices', 'Geography and Topography', 'Religion (Buddhism and Ancestor Worship)']","[0.33332651417260717, 0.33332643475390494, 0.33318925055076853]",3
